Server,servername,OS,ImageName,StorageAccount,subnet,AvailabilitySet,DataDiskSize,VMSize
Monitoring Server 03 (New Relic),mon3,Linux,CentOS7,storagestd,biz,None,None,Standard_A1_v2
Kafka Node 01,kafka1,Linux,CentOS7,storagestd,biz,Igloo-POC-Kafka-AS,80,Standard_A2m_v2
Kafka Node 02,kafka2,Linux,CentOS7,storagestd,biz,Igloo-POC-Kafka-AS,80,Standard_A2m_v2
Kafka Node 03,kafka3,Linux,CentOS7,storagestd,biz,Igloo-POC-Kafka-AS,80,Standard_A2m_v2
Redis Node 01,redis1,Linux,CentOS7,storagestd,biz,Igloo-POC-Redis-AS,50,Standard_A2m_v2
Redis Node 02,redis2,Linux,CentOS7,storagestd,biz,Igloo-POC-Redis-AS,50,Standard_A2m_v2
Redis Node 03,redis3,Linux,CentOS7,storagestd,biz,Igloo-POC-Redis-AS,50,Standard_A2m_v2
Solr Node 01,solr1,Linux,CentOS6,storagestd,biz,Igloo-POC-SOLr-AS,80,Standard_A2m_v2
Solr Node 02,solr2,Linux,CentOS6,storagestd,biz,Igloo-POC-SOLr-AS,80,Standard_A2m_v2
Solr Node 03,solr3,Linux,CentOS6,storagestd,biz,Igloo-POC-SOLr-AS,80,Standard_A2m_v2
Deploy Server - Linux,deploy2,Linux,CentOS7,storagestd,mgmt,None,50,Standard_A2_v2
Kafka Management Server,kfkmgmt,Linux,CentOS7,storagestd,mgmt,None,None,Standard_D2_v2
SMTP Server 01,smtp1,Linux,CentOS7,storagestd,biz,Igloo-POC-SMTP-AS,None,Standard_D2_v2
SMTP Server 02,smtp2,Linux,CentOS7,storagestd,biz,Igloo-POC-SMTP-AS,None,Standard_D2_v2
SPAM Server 01,spam1,Linux,CentOS7,storagestd,biz,Igloo-POC-SPAM-AS,None,Standard_D2_v2
SPAM Server 02,spam2,Linux,CentOS7,storagestd,biz,Igloo-POC-SPAM-AS,None,Standard_D2_v2
ELK Node 01,elk1,Linux,CentOS7,storagestd,biz,Igloo-POC-ELK-AS,None,Standard_D2_v2
ELK Node 02,elk2,Linux,CentOS7,storagestd,biz,Igloo-POC-ELK-AS,None,Standard_D2_v2
ELK Node 03,elk3,Linux,CentOS7,storagestd,biz,Igloo-POC-ELK-AS,None,Standard_D2_v2
Admin Jumpbox,admin,Windows,Win2012R2,storagestd,biz,None,None,Standard_D2_v2
Certificiate Authority,ca,Windows,Win2012R2,storagestd,mgmt,None,None,Standard_D2_v2
Cron Server,cron,Windows,Win2012R2,storagestd,biz,None,None,Standard_D2_v2
Datafeeds Server 01,dfd1,Windows,Win2012R2,storagestd,biz,Igloo-POC-DFD-AS,None,Standard_D2_v2
Datafeeds Server 02,dfd2,Windows,Win2012R2,storagestd,biz,Igloo-POC-DFD-AS,None,Standard_D2_v2
Deploy Server - Windows,deploy1,Windows,Win2012R2,storagestd,mgmt,None,None,Standard_D2_v2
DFS Server 01,dfs1,Windows,Win2012R2,storagestd,biz,Igloo-POC-DFS-AS,None,Standard_D2_v2
DFS Server 02,dfs2,Windows,Win2012R2,storagestd,biz,Igloo-POC-DFS-AS,None,Standard_D2_v2
Diff Server,diff,Windows,Win2012R2,storagestd,biz,None,None,Standard_D2_v2
Doc Engine Server 01,doceng1,Windows,Win2012R2,storagestd,biz,Igloo-POC-DocEng-AS,None,Standard_D2_v2
Doc Engine Server 02,doceng2,Windows,Win2012R2,storagestd,biz,Igloo-POC-DocEng-AS,None,Standard_D2_v2
Domain Controller 01,dc1,Windows,Win2012R2,storagestd,mgmt,Igloo-POC-DC-AS,None,Standard_D2_v2
Domain Controller 02,dc2,Windows,Win2012R2,storagestd,mgmt,Igloo-POC-DC-AS,None,Standard_D2_v2
FTP,ftp,Windows,Win2012R2,storagestd,biz,None,300,Standard_D2_v2
ICS Server 01,ics1,Windows,Win2012R2,storagestd,biz,Igloo-POC-ICS-AS,None,Standard_D2_v2
ICS Server 02,ics2,Windows,Win2012R2,storagestd,biz,Igloo-POC-ICS-AS,None,Standard_D2_v2
Internal Web Services 01 (ie. CCS),iws1,Windows,Win2012R2,storagestd,biz,Igloo-POC-IWS-AS,None,Standard_D2_v2
Internal Web Services 02 (ie. CCS),iws2,Windows,Win2012R2,storagestd,biz,Igloo-POC-IWS-AS,None,Standard_D2_v2
Mobile Data Processor Server 01,mdp1,Windows,Win2012R2,storagestd,biz,Igloo-POC-MDP-AS,None,Standard_D2_v2
Mobile Data Processor Server 01,mdp2,Windows,Win2012R2,storagestd,biz,Igloo-POC-MDP-AS,None,Standard_D2_v2
Monitoring Server 02 (Solarwinds),mon2,Windows,Win2012R2,storagestd,biz,None,15,Standard_D2_v2
Monitoring Server 04 (Firewall Analyzer),mon4,Windows,Win2012R2,storagestd,biz,None,None,Standard_D2_v2
OAuth Web Server 01,oap1,Windows,Win2012R2,storagestd,biz,Igloo-POC-OAP-AS,None,Standard_D2_v2
OAuth Web Server 02,oap2,Windows,Win2012R2,storagestd,biz,Igloo-POC-OAP-AS,None,Standard_D2_v2
RabbitMQ Cluster Node 01,rmq1,Windows,Win2012R2,storagestd,biz,Igloo-POC-RMQ-AS,None,Standard_D2_v2
RabbitMQ Cluster Node 01,rmq2,Windows,Win2012R2,storagestd,biz,Igloo-POC-RMQ-AS,None,Standard_D2_v2
SAP Server,sap,Windows,Win2012R2,storagestd,biz,None,None,Standard_D2_v2
Web Server 01,web1,Windows,Win2012R2,storagestd,web,Igloo-POC-Web-AS,None,Standard_D2_v2
Web Server 02,web2,Windows,Win2012R2,storagestd,web,Igloo-POC-Web-AS,None,Standard_D2_v2
Web Server 03,web3,Windows,Win2012R2,storagestd,web,Igloo-POC-Web-AS,None,Standard_D2_v2
Web Server 04,web4,Windows,Win2012R2,storagestd,web,Igloo-POC-Web-AS,None,Standard_D2_v2
Windows Update Services (WSUS),wsus,Windows,Win2012R2,storagestd,mgmt,None,200,Standard_D2_v2
Video Engine Server 01,videng1,Windows,Win2012R2,storagestd,biz,Igloo-POC-VidEng-AS,None,Standard_F4
Video Engine Server 02,videng2,Windows,Win2012R2,storagestd,biz,Igloo-POC-VidEng-AS,None,Standard_F4
Monitoring Server 01 (PRTG),mon1,Windows,Win2012R2,storageprem,biz,None,2048,Standard_F8
MT - SQL - Prod Cluster Node 1,SQLCA1,Windows,Win2012R2,storageprem,Data,Igloo-POC-SQL-AS,None,Standard_GS2
MT - SQL - Prod Cluster Node 2,SQLCA2,Windows,Win2012R2,storageprem,Data,Igloo-POC-SQL-AS,None,Standard_GS2
MT - SQL - DataWarehouse,SQLDW,Windows,Win2012R2,storageprem,Data,Igloo-POC-SQL-AS,None,Standard_GS2
